formula,Layer Group,Layer Group Number,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,compound possible,max ionic char,avg ionic char,band center,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,NComp,TotalAtomNumber,MaximumAtomNumber,MinimumAtomNumber,AverageAtomNumber,SpecificValue,AtomNumberVariance
BrIPtZrS2,p1,1,Br1 I1 Pt1 Zr1 S2,16,78,62,39.66666667,17.33333333,16,44,96,52,79,17,88,32.065,195.084,163.019,92.87441167,45.41321556,32.065,265.8,2128,1862.2,933.1283333,767.7144444,388.36,4,17,13,13.33333333,4.222222222,16,3,6,3,4.333333333,1,3,105,175,70,130,20,105,1.33,2.96,1.63,2.398333333,0.395555556,2.58,1,2,1,1.833333333,0.277777778,2,0,5,5,3,2,4,0,10,10,5.166666667,4.5,0,0,14,14,2.333333333,3.888888889,0,4,24,20,12.33333333,7,6,0,1,1,0.166666667,0.277777778,0,0,2,2,1,0.666666667,2,0,8,8,1.5,2.166666667,0,0,0,0,0,0,0,1,8,7,2.666666667,1.777777778,2,15.02,43.015,27.995,27.04729167,6.133472222,25.786875,0,2.202,2.202,1.153833333,0.799833333,2.202,0,0,0,0,0,0,64,225,161,114.5,63.33333333,70,5,0.471404521,0.381571414,0.341278752,0.334801876,0.333463313,0.148648649,0.243243243,0.418918919,0.189189189,1,0.485327756,0.054914402,-2.327375945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,1,1.2,1,0.004444444
PdNi3S3Se5,p1,1,Pd1 Ni3 S3 Se5,16,46,30,29,7,34,61,89,28,79.5,12.16666667,89,32.065,106.42,74.355,64.45793333,19.07873333,78.96,388.36,1828.05,1439.69,887.2608333,577.1677778,494,10,16,6,14,2.666666667,16,3,5,2,3.833333333,0.416666667,4,105,139,34,118.8333333,6.916666667,120,1.91,2.58,0.67,2.368333333,0.257222222,2.55,0,2,2,1.833333333,0.305555556,2,0,4,4,2.666666667,1.777777778,4,0,10,10,7,3.5,10,0,0,0,0,0,0,6,16,10,11.5,3.75,16,0,0,0,0,0,0,0,2,2,1.333333333,0.888888889,2,0,2,2,0.5,0.75,0,0,0,0,0,0,0,0,2,2,1.833333333,0.305555556,2,10.32,25.92,15.6,21.02755208,6.456701389,25.92,0,2.202,2.202,0.883416667,0.659291667,0.799,0,0.5953947,0.5953947,0.148848675,0.223273013,0,14,225,211,98.33333333,84.44444444,14,4,0.552770798,0.470518014,0.428912104,0.419922667,0.417167834,0.15942029,0.231884058,0.608695652,0,0,0.10615688,0.019016315,-2.350121056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,1,3,1,0.013888889
SeS3I4Pt4,p1,1,Se1 S3 I4 Pt4,16,78,62,50.5,20,53,63,96,33,82.41666667,12.94444444,63,32.065,195.084,163.019,121.92574,52.09132667,126.90447,386.85,2041.4,1654.55,947.6733333,729.1511111,386.85,10,17,7,14.33333333,2.888888889,10,3,6,3,4.75,1,5,105,139,34,127.9166667,12.77777778,136,2.28,2.66,0.38,2.504166667,0.149444444,2.28,1,2,1,1.666666667,0.444444444,1,0,5,5,3,2,0,0,10,10,7.166666667,3.583333333,9,0,14,14,4.666666667,6.222222222,0,6,24,18,16.5,5.333333333,17,0,1,1,0.333333333,0.444444444,0,0,2,2,1,0.666666667,0,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,1,2,1,1.666666667,0.444444444,1,15.02,43.015,27.995,27.95171875,10.0421875,15.02,0,2.202,2.202,0.971083333,0.676069444,0,0,0,0,0,0,0,14,225,211,115,73.33333333,64,4,0.540061725,0.448601051,0.391617127,0.371443948,0.358251237,0.101010101,0.181818182,0.434343434,0.282828283,1,0.035456166,0.006517117,-2.498745947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,1,3,1,0.010416667
Br2Re6S8,p-1,2,Br2 Re6 S8,16,75,59,40.5,25.875,16,54,95,41,76.125,16.59375,88,32.065,186.207,154.142,95.848125,67.76915625,32.065,265.8,3459,3193.2,1524.53,1450.8525,388.36,7,17,10,12.75,4.3125,16,3,6,3,4.25,1.3125,3,105,151,46,124.125,20.15625,105,1.9,2.96,1.06,2.3725,0.354375,2.58,2,2,0,2,0,2,0,5,5,2.625,1.96875,4,0,10,10,3.125,3.125,0,0,14,14,5.25,6.5625,0,6,21,15,13,7,6,0,0,0,0,0,0,0,2,2,1.125,0.875,2,0,5,5,1.875,2.34375,0,0,0,0,0,0,0,1,5,4,3,1.5,2,14.655,29.48,14.825,22.0740625,5.564296875,25.786875,0,2.202,2.202,1.283125,0.96234375,2.202,0,0,0,0,0,0,64,194,130,115.75,58.6875,70,3,0.637377439,0.564294679,0.521835792,0.509034206,0.502746814,0.153846154,0.201923077,0.240384615,0.403846154,0,0.244896158,0.034164614,-2.340205077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,8,2,5.333333333,2,0.024305556
Br2Re6Se8,p-1,2,Br2 Re6 Se8,34,75,41,49.5,19.125,34,54,95,41,76.625,16.96875,89,78.96,186.207,107.247,119.295625,50.18353125,78.96,265.8,3459,3193.2,1577.35,1411.2375,494,7,17,10,12.75,4.3125,16,4,6,2,4.75,0.9375,4,120,151,31,131.625,14.53125,120,1.9,2.96,1.06,2.3575,0.343125,2.55,2,2,0,2,0,2,0,5,5,2.625,1.96875,4,5,10,5,8.125,2.34375,10,0,14,14,5.25,6.5625,0,16,21,5,18,2.25,16,0,0,0,0,0,0,0,2,2,1.125,0.875,2,0,5,5,1.875,2.34375,0,0,0,0,0,0,0,1,5,4,3,1.5,2,14.655,29.48,14.825,22.140625,5.61421875,25.92,0,1.457,1.457,0.581625,0.43621875,0.799,0,0,0,0,0,0,14,194,180,87.75,79.6875,14,3,0.637377439,0.564294679,0.521835792,0.509034206,0.502746814,0.111111111,0.145833333,0.451388889,0.291666667,0,0.244896158,0.03284627,-2.32655945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,8,2,5.333333333,2,0.024305556
Br2Re6Te8,p-1,2,Br2 Re6 Te8,35,75,40,58.5,12.375,52,54,95,41,77.125,17.34375,90,79.904,186.207,106.303,143.615625,31.94353125,127.6,265.8,3459,3193.2,1691.68,1325.49,722.66,7,17,10,12.75,4.3125,16,4,6,2,5.25,0.5625,5,120,151,31,140.625,7.78125,138,1.9,2.96,1.06,2.1325,0.206875,2.1,2,2,0,2,0,2,0,5,5,2.625,1.96875,4,5,10,5,8.125,2.34375,10,0,14,14,5.25,6.5625,0,16,21,5,18,2.25,16,0,0,0,0,0,0,0,2,2,1.125,0.875,2,0,5,5,1.875,2.34375,0,0,0,0,0,0,0,1,5,4,3,1.5,2,14.655,34.76333333,20.10833333,26.56229167,8.93046875,34.76333333,0,1.457,1.457,0.414125,0.31059375,0.464,0,0,0,0,0,0,64,194,130,156.75,27.9375,152,3,0.637377439,0.564294679,0.521835792,0.509034206,0.502746814,0.111111111,0.145833333,0.451388889,0.291666667,0,0.244896158,0.023895951,-2.111318298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,8,2,5.333333333,2,0.024305556
BrCl3Nb4O4,p112,3,Br1 Cl3 Nb4 O4,8,41,33,23.5,13.58333333,8,47,95,48,76.08333333,19.38888889,47,15.9994,92.90638,76.90698,51.82384333,32.06838389,15.9994,54.8,2750,2695.2,999.9833333,1166.677778,54.8,5,17,12,12.66666667,5.111111111,5,2,5,3,3.416666667,1.152777778,2,66,164,98,112.1666667,35.86111111,66,1.6,3.44,1.84,2.716666667,0.744444444,1.6,1,2,1,1.666666667,0.444444444,1,0,5,5,3,2,0,0,10,10,2.166666667,2.527777778,0,0,0,0,0,0,0,5,17,12,6.833333333,1.777777778,5,0,1,1,0.333333333,0.444444444,0,0,2,2,1,0.666666667,0,0,6,6,2,2.666666667,0,0,0,0,0,0,0,1,7,6,3.333333333,2.444444444,2,9.105,29.48,20.375,17.67604167,5.714027778,9.105,0,2.493,2.493,0.744666667,0.992888889,0,0,0,0,0,0,0,12,229,217,101.6666667,84.88888889,12,4,0.540061725,0.448601051,0.391617127,0.371443948,0.358251237,0.243902439,0.43902439,0.317073171,0,0,0.571043601,0.115094553,-2.576848514,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,1,3,1,0.010416667
CaSn3Br4S4,p112,3,Ca1 Sn3 Br4 S4,16,50,34,31.16666667,11.97222222,16,7,95,88,81.58333333,13.22222222,88,32.065,118.71,86.645,70.34033333,30.56061111,32.065,265.8,1115,849.2,437.24,146.88,265.8,2,17,15,14.66666667,2.444444444,16,3,5,2,3.916666667,0.611111111,3,105,176,71,124.4166667,15.88888889,105,1,2.96,1.96,2.42,0.466666667,2.58,2,2,0,2,0,2,0,5,5,3.5,1.333333333,4,0,10,10,5.833333333,4.861111111,0,0,0,0,0,0,0,2,17,15,11.33333333,5.111111111,6,0,0,0,0,0,0,0,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,1,25.786875,37.77,11.983125,29.89104167,3.010138889,25.786875,0,2.202,2.202,1.219666667,0.813111111,1.457,0,0,0,0,0,0,64,225,161,98.66666667,42.22222222,64,4,0.540061725,0.448601051,0.391617127,0.371443948,0.358251237,0.176470588,0.308823529,0.514705882,0,0,0.617260241,0.064337716,-2.330063858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,1,3,1,0.010416667
InAu3Br4O4,p112,3,In1 Au3 Br4 O4,8,79,71,38.16666667,22.22222222,8,66,95,29,83.41666667,10.11111111,87,15.9994,196.966569,180.967169,90.77760892,57.10121189,15.9994,54.8,1337.33,1282.53,477.0116667,430.1591667,54.8,11,17,6,14.83333333,2.222222222,16,2,6,4,3.916666667,1.277777778,2,66,142,76,107.8333333,27.88888889,66,1.78,3.44,1.66,2.916666667,0.377777778,2.96,1,2,1,1.75,0.375,2,0,5,5,3.083333333,1.888888889,4,0,10,10,6.666666667,4.444444444,0,0,14,14,3.5,5.25,0,6,25,19,15,6.333333333,6,0,1,1,0.25,0.375,0,0,5,5,1.416666667,0.986111111,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1.666666667,0.777777778,1,9.105,29.48,20.375,19.05833333,7.814722222,9.105,0,1.457,1.457,0.485666667,0.647555556,0,0,0,0,0,0,0,12,225,213,93.16666667,73.55555556,12,4,0.540061725,0.448601051,0.391617127,0.371443948,0.358251237,0.116666667,0.205555556,0.444444444,0.233333333,1,0.497871894,0.049887315,-2.870957833,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,1,3,1,0.010416667
Mn4Cl12,p11a,5,Mn4 Cl12,17,25,8,19,3,17,52,94,42,83.5,15.75,94,35.453,54.938045,19.485045,40.32426125,7.306891875,35.453,171.6,1519,1347.4,508.45,505.275,171.6,7,17,10,14.5,3.75,17,3,4,1,3.25,0.375,3,102,139,37,111.25,13.875,102,1.55,3.16,1.61,2.7575,0.60375,3.16,2,2,0,2,0,2,0,5,5,3.75,1.875,5,0,5,5,1.25,1.875,0,0,0,0,0,0,0,7,7,0,7,0,7,0,0,0,0,0,0,0,1,1,0.75,0.375,1,0,5,5,1.25,1.875,0,0,0,0,0,0,0,1,5,4,2,1.5,1,10.48758621,24.4975,14.00991379,20.99502155,5.253717672,24.4975,0,2.493,2.493,1.86975,0.934875,2.493,0,0.000310121,0.000310121,7.75E-05,0.000116295,0,64,217,153,102.25,57.375,64,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,0.285714286,0.535714286,0.178571429,0,0,0.476922164,0.089422906,-2.644528407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,12,4,8,4,0.0625
